,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
58,,"Selamat Datang","2021-11-16 06:38:49",0,no,no,"om Ded undang wasit Thoriq Alkatiri dong..🙏",UCDUNgt_8owyd6MDyOLUMmSw,UgwogUlEtMqDXvGZqep4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwogUlEtMqDXvGZqep4AaABAg
59,,"mahmuda putra","2021-11-16 15:19:01",0,no,no,"Wkwkwk saya pernah mukulin orang abis nyabu sampe bonjrot muka nya penuh darah pun masih bangkit om
Kalo orang abis nyabu ngajak berantem mending kabur 😂",UC0M7a45yE6czZ9QAN2G6e9Q,Ugz0GLY9nCJ4avaPUnZ4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugz0GLY9nCJ4avaPUnZ4AaABAg
60,,"Yudha Da","2021-11-16 16:44:25",0,no,no,👍🏸,UCzhCZy84ZTO0-7iL-eHJRYg,Ugy3Vx7EnQB8QXMB6G94AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugy3Vx7EnQB8QXMB6G94AaABAg
61,,"Bimo Pakuja","2021-11-17 02:14:04",0,no,no,Mantul,UCq1eIJg8BojIcFdQLsD3g6Q,UgwvA6ZPQRjN_OH4ZcR4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwvA6ZPQRjN_OH4ZcR4AaABAg
62,,"Prince Jaejoong","2021-11-17 05:02:20",0,no,no,"Pengen boxing ampe tepar.. 😬",UCXavjAMGfSbtrQ5KYfyXQ0w,UgzBMBxq98CeHuZoodJ4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzBMBxq98CeHuZoodJ4AaABAg
63,,"RAFIF NYUMBER FISHING","2021-11-17 12:06:28",0,no,no,"gus baha om ded",UCoUfIrwSHGDuAd0R1QCE4aQ,UgxDdznCzR_KxGzn6Ed4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxDdznCzR_KxGzn6Ed4AaABAg
64,,"channel anak kecil","2021-11-17 13:56:36",0,no,no,"Memang luar biasa kang yayan",UC_ZLlL_Z0j_jj8VJs2RoIAQ,UgxGVxp_cpdg0WK5ehR4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxGVxp_cpdg0WK5ehR4AaABAg
65,,"Aditya Rizki (The King)","2021-11-17 17:14:06",0,no,no,"Maddog anjir",UCnulWfXORpwqAkLBIX94stQ,UgzY10eT5pD5YDZcdpx4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzY10eT5pD5YDZcdpx4AaABAg
66,,"Alam sekitar YOGYAKARTA","2021-11-17 17:28:52",0,no,no,"menjadikan aura film indonesia lebih GREGET......sehat selalu kang yayan",UC_hFH4lNmgqNIQbazjtdnfw,UgwR4HCKtnoof9aag7F4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwR4HCKtnoof9aag7F4AaABAg
67,,"Ananda Fadli","2021-11-17 17:45:05",0,no,no,"Ass ....... Helooooooow .. Bang Dedy sehat  n menghibur n sukses selalu",UCmS6tDbHMzaWkvEwmctj75A,UgyqhW-JxNVmSaB4rbN4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyqhW-JxNVmSaB4rbN4AaABAg
